Antecedent,Consequent,Support,Confidence,Lift
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.024155024785939613,0.5909592061742006,16.20937550680533
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.024155024785939613,0.6625463535228677,16.20937550680533
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.021000450653447498,0.6075619295958279,20.999687255033365
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.021000450653447498,0.7258566978193146,20.999687255033365
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.021225777377196935,0.7969543147208121,24.12607945928352
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.021225777377196935,0.6425648021828103,24.12607945928352
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.025101397025687245,0.666267942583732,20.16983034915827
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.025101397025687245,0.7598908594815825,20.16983034915827
JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.024966200991437586,0.3371880706025563,8.464030867274577
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.024966200991437586,0.6266968325791855,8.464030867274577
LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,0.021045515998197387,0.491062039957939,10.155327741534638
LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,0.021045515998197387,0.43522833178005593,10.155327741534638
LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,0.023569175304191076,0.3935289691497366,8.138311114103129
LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,0.023569175304191076,0.4874184529356943,8.138311114103129
LUNCH BAG RED RETROSPOT,LUNCH BAG CARS BLUE,0.020955385308697613,0.34988713318284426,7.850349327934595
LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,0.020955385308697613,0.47017189079878663,7.850349327934595
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.023884632717440287,0.39879608728367194,9.305242036619012
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.023884632717440287,0.5573080967402734,9.305242036619012
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG RED RETROSPOT,0.02118071203244705,0.4695304695304695,7.839639668082106
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,0.02118071203244705,0.35364936042136946,7.839639668082106
LUNCH BAG SUKI DESIGN,LUNCH BAG RED RETROSPOT,0.020594862550698513,0.49890829694323147,8.33015433346148
LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,0.020594862550698513,0.3438675696012039,8.33015433346148
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.02045966651644885,0.6403385049365303,14.35263780256728
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.02045966651644885,0.4585858585858586,14.35263780256728
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.020324470482199188,0.5394736842105263,20.255365571288625
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.020324470482199188,0.7631133671742809,20.255365571288625
WHITE HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,0.020730058584948176,0.22851465474416294,7.327659232330889
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.020730058584948176,0.6647398843930635,7.327659232330889
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.021360973411446597,0.5302013422818792,14.243544534182686
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.021360973411446597,0.5738498789346247,14.243544534182686
